eplenmean,eprewmean,eval_eplenmean,eval_eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps,test_eplenmean,test_eprewmean
88.33,-2.359999895095825,81.9,-2.5199999809265137,812.0,0.0006115197320468724,0.0,2.707458257675171,-0.0008646775968372822,0.3920029401779175,-0.004111766815185547,1.0,256.0,20.17398046300059,16384.0,83.17,-2.180000066757202
84.96,-1.899999976158142,82.94,-2.9800000190734863,1015.0,0.0030048887711018324,0.015299479477107525,2.69921612739563,-0.0020978895481675863,0.18886542320251465,0.028136253356933594,2.0,512.0,36.39215053400039,32768.0,86.95,-2.380000114440918
85.85,-2.0,83.93,-2.2699999809265137,1035.0,0.0014337449101731181,0.00634765625,2.693411111831665,-0.0009153387509286404,0.17118410766124725,0.032391488552093506,3.0,768.0,52.247163998999895,49152.0,80.93,-2.7899999618530273
91.0,-2.1600000858306885,81.83,-1.3899999856948853,1019.0,0.002236626809462905,0.00921630859375,2.6896448135375977,-0.0013171476311981678,0.1884974092245102,0.09707921743392944,4.0,1024.0,68.35205000699989,65536.0,79.78,-1.75
90.98,-1.8700000047683716,80.34,-2.119999885559082,1024.0,0.0015353532508015633,0.009114583022892475,2.6824684143066406,-0.0015323073603212833,0.17418992519378662,0.12881457805633545,5.0,1280.0,84.38782786000047,81920.0,80.98,-2.619999885559082
86.14,-1.9700000286102295,78.93,-1.7400000095367432,1024.0,0.0029955804347991943,0.02457682229578495,2.6688387393951416,-0.0029264490585774183,0.16290412843227386,0.2020944356918335,6.0,1536.0,100.41459317299996,98304.0,79.46,-2.140000104904175
83.36,-1.3300000429153442,80.76,-2.4200000762939453,1026.0,0.0034167023841291666,0.02699788473546505,2.6489357948303223,-0.0021491991356015205,0.14090247452259064,0.26553255319595337,7.0,1792.0,116.42073814000014,114688.0,84.5,-1.649999976158142
85.11,-1.9800000190734863,80.8,-1.9199999570846558,1020.0,0.003957372158765793,0.0303955078125,2.6444780826568604,-0.0036056104581803083,0.14650221168994904,0.28158313035964966,8.0,2048.0,132.53334215199993,131072.0,84.33,-1.8799999952316284
82.13,-1.7000000476837158,80.73,-1.340000033378601,1024.0,0.004078971687704325,0.0398152656853199,2.6391499042510986,-0.004234860185533762,0.1290035843849182,0.3507905602455139,9.0,2304.0,148.55660513100065,147456.0,78.0,-1.7100000381469727
81.96,-1.6100000143051147,78.15,-1.5199999809265137,1018.0,0.003635713830590248,0.02577718161046505,2.633136034011841,-0.004111779388040304,0.12202095985412598,0.40573549270629883,10.0,2560.0,164.6850347360005,163840.0,72.76,-1.5299999713897705
80.51,-1.0700000524520874,77.47,-1.5,1020.0,0.004601799417287111,0.03643798828125,2.6375675201416016,-0.004882780369371176,0.10580307245254517,0.4077027440071106,11.0,2816.0,180.77638273400044,180224.0,73.55,-1.2899999618530273
80.15,-0.8299999833106995,79.75,-1.350000023841858,1023.0,0.002717401832342148,0.01778157614171505,2.6389663219451904,-0.003955595660954714,0.09480353444814682,0.47810614109039307,12.0,3072.0,196.82319212499988,196608.0,78.63,-1.7599999904632568
80.44,-1.4600000381469727,77.79,-1.4700000286102295,1026.0,0.005322592332959175,0.0460205078125,2.6179943084716797,-0.0056232581846416,0.10865738242864609,0.5122150182723999,13.0,3328.0,212.8183109900001,212992.0,75.87,-1.6299999952316284
82.36,-1.25,76.34,-1.3200000524520874,1015.0,0.004138919059187174,0.0333658866584301,2.614960193634033,-0.006297557149082422,0.10955667495727539,0.5633314251899719,14.0,3584.0,228.9920069179998,229376.0,76.98,-1.2300000190734863
78.94,-1.0,72.56,-0.9300000071525574,1016.0,0.005295380484312773,0.0547078438103199,2.60648512840271,-0.009083506651222706,0.10655265301465988,0.5987891256809235,15.0,3840.0,245.14019624400044,245760.0,77.15,-1.2200000286102295
84.12,-0.9200000166893005,77.38,-1.6100000143051147,1017.0,0.0049148909747600555,0.0471598319709301,2.6087758541107178,-0.008289556950330734,0.11881973594427109,0.5542458593845367,16.0,4096.0,261.27984633100004,262144.0,78.02,-1.2699999809265137
