eplenmean,eprewmean,eval_eplenmean,eval_eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps,test_eplenmean,test_eprewmean
84.08,-1.9500000476837158,87.99,-2.950000047683716,627.0,0.0007380333845503628,0.00010172525799134746,2.7073018550872803,-0.0007971090381033719,0.5073701739311218,-0.1009378433227539,1.0,256.0,26.12692520799999,16384.0,80.62,-2.1700000762939453
86.46,-2.2699999809265137,78.6,-2.7300000190734863,978.0,0.00047557082143612206,0.0,2.70630145072937,-0.00012087257346138358,0.24491368234157562,-0.06112015247344971,2.0,512.0,44.7732697859999,32768.0,82.16,-1.8700000047683716
90.21,-2.5799999237060547,86.69,-2.450000047683716,992.0,0.0003251930174883455,0.0,2.7068755626678467,-0.00031960743945091963,0.22229139506816864,-0.026665806770324707,3.0,768.0,62.00292092299992,49152.0,83.39,-1.8799999952316284
87.25,-2.319999933242798,84.91,-2.4600000381469727,991.0,0.00020888463768642396,0.0,2.707181930541992,-0.000396612798795104,0.19301724433898926,0.0033271312713623047,4.0,1024.0,79.087086935,65536.0,80.58,-2.359999895095825
87.15,-2.0399999618530273,82.57,-2.430000066757202,971.0,0.00033447996247559786,0.0,2.7065365314483643,-0.00022357168199960142,0.19558043777942657,0.01718306541442871,5.0,1280.0,96.52329894299999,81920.0,80.47,-1.3799999952316284
89.43,-2.0199999809265137,90.68,-2.1700000762939453,978.0,0.00043037874274887145,0.0,2.7049760818481445,-0.00039543063030578196,0.18260855972766876,0.02157837152481079,6.0,1536.0,113.8256527829999,98304.0,83.01,-2.2300000190734863
91.61,-2.700000047683716,84.5,-2.1600000858306885,973.0,0.0004676530370488763,0.0,2.7041585445404053,-0.00040618577622808516,0.18676163256168365,0.03861129283905029,7.0,1792.0,131.209565904,114688.0,78.76,-1.840000033378601
83.63,-2.2899999618530273,82.45,-2.2799999713897705,964.0,0.0008893267367966473,0.00018310546875,2.7016403675079346,-0.0006536350701935589,0.18756555020809174,0.05992358922958374,8.0,2048.0,148.71510202499996,131072.0,82.47,-2.390000104904175
86.46,-2.3399999141693115,87.94,-3.25,958.0,0.0008527960162609816,0.0005900065298192203,2.69655442237854,-0.000767567427828908,0.16892112791538239,0.09776979684829712,9.0,2304.0,166.427223337,147456.0,83.42,-2.440000057220459
87.5,-2.430000066757202,84.91,-2.990000009536743,950.0,0.0021366155706346035,0.009236653335392475,2.694385528564453,-0.001598009024746716,0.1670423299074173,0.15670353174209595,10.0,2560.0,184.208120045,163840.0,83.98,-1.9600000381469727
88.41,-2.640000104904175,82.39,-2.0199999809265137,947.0,0.003507105400785804,0.02522786520421505,2.684911012649536,-0.003787462366744876,0.18545792996883392,0.17865294218063354,11.0,2816.0,202.03698018499995,180224.0,86.26,-2.4200000762939453
