eplenmean,eprewmean,eval_eplenmean,eval_eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps,test_eplenmean,test_eprewmean
81.41,-2.299999952316284,84.08,-2.299999952316284,787.0,0.0008413451141677797,6.103515625e-05,2.707134485244751,-0.0011576104443520308,0.4828014075756073,-0.019167423248291016,1.0,256.0,20.81196318399998,16384.0,84.37,-2.4000000953674316
85.34,-2.319999933242798,80.37,-2.4600000381469727,981.0,0.00044415940647013485,0.0,2.702603340148926,-0.0004655190568882972,0.17491692304611206,-0.007166743278503418,2.0,512.0,37.575054757000544,32768.0,79.18,-1.409999966621399
87.72,-2.25,85.22,-2.5799999237060547,991.0,0.0018403218127787113,0.0037638347130268812,2.6944215297698975,-0.0007320651202462614,0.18609873950481415,-0.00385892391204834,3.0,768.0,54.13533653400009,49152.0,86.67,-2.2799999713897705
86.09,-2.700000047683716,78.49,-1.9700000286102295,986.0,0.0019074509618803859,0.013814290054142475,2.6896674633026123,-0.0018541765166446567,0.19441182911396027,0.01514732837677002,4.0,1024.0,70.77875553400008,65536.0,82.08,-3.0399999618530273
85.26,-1.8799999952316284,82.36,-2.7699999809265137,982.0,0.0014893735060468316,0.00714111328125,2.68506121635437,-0.0007850404945202172,0.16933314502239227,0.03345721960067749,5.0,1280.0,87.49258307700075,81920.0,87.68,-2.9600000381469727
86.97,-1.899999976158142,80.28,-1.8300000429153442,998.0,0.0020404497627168894,0.00946044921875,2.6881799697875977,-0.0014956039376556873,0.16214129328727722,0.07151657342910767,6.0,1536.0,103.93931643599899,98304.0,77.25,-2.25
87.85,-2.450000047683716,83.4,-1.7100000381469727,996.0,0.0019821899477392435,0.009480793960392475,2.6837451457977295,-0.0013747581979259849,0.17755597829818726,0.11973553895950317,7.0,1792.0,120.41874199300037,114688.0,81.52,-2.5899999141693115
89.27,-1.7699999809265137,86.84,-2.509999990463257,988.0,0.0026826292742043734,0.01682535745203495,2.6686315536499023,-0.0014787079999223351,0.1527489274740219,0.17646360397338867,8.0,2048.0,137.0317949250002,131072.0,87.79,-1.840000033378601
85.07,-2.6700000762939453,81.81,-1.8799999952316284,989.0,0.002697739051654935,0.015401204116642475,2.660271406173706,-0.0018150852993130684,0.17962700128555298,0.22899621725082397,9.0,2304.0,153.62924046400076,147456.0,84.09,-2.1500000953674316
83.62,-1.6299999952316284,81.54,-1.8799999952316284,982.0,0.002499314956367016,0.010477702133357525,2.6582088470458984,-0.002195620210841298,0.13761505484580994,0.24200165271759033,10.0,2560.0,170.3378469929994,163840.0,79.32,-1.9299999475479126
