eplenmean,eprewmean,eval_eplenmean,eval_eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps,test_eplenmean,test_eprewmean
86.27,-1.7799999713897705,83.5,-2.4600000381469727,791.0,0.00031972117722034454,0.0,2.70773983001709,-0.0006305653951130807,0.4121117889881134,0.002767026424407959,1.0,256.0,20.69092671600083,16384.0,81.22,-2.190000057220459
95.71,-3.0,87.29,-2.390000104904175,977.0,0.000907325476873666,0.00028483071946538985,2.7044289112091064,-0.0007045930833555758,0.19535355269908905,0.019912421703338623,2.0,512.0,37.52597852300096,32768.0,80.0,-2.109999895095825
86.48,-1.7699999809265137,88.76,-2.440000057220459,988.0,0.0006434792303480208,0.0,2.7003173828125,-0.0006725260172970593,0.16189344227313995,0.040702879428863525,3.0,768.0,54.14419891500074,49152.0,81.45,-2.190000057220459
85.79,-1.7400000095367432,80.86,-1.2699999809265137,995.0,0.0011583124287426472,0.00537109375,2.6961820125579834,-0.0010149296140298247,0.1429455429315567,0.07257080078125,4.0,1024.0,70.65211945300143,65536.0,87.82,-2.9100000858306885
82.01,-1.8600000143051147,85.13,-2.0,1004.0,0.0022517056204378605,0.008707682602107525,2.682307481765747,-0.0014056122163310647,0.17625069618225098,0.09458976984024048,5.0,1280.0,87.00091105499996,81920.0,83.74,-2.7899999618530273
88.64,-1.5299999713897705,81.21,-2.0999999046325684,998.0,0.002047482645139098,0.011474609375,2.6780364513397217,-0.0019299673149362206,0.1373201608657837,0.1480633020401001,6.0,1536.0,103.44270374500047,98304.0,81.77,-2.1700000762939453
83.15,-2.5,83.59,-2.1500000953674316,989.0,0.001621006173081696,0.0038859050255268812,2.6600594520568848,-0.0014112399658188224,0.1929236799478531,0.1781420111656189,7.0,1792.0,120.04365087299993,114688.0,88.03,-2.2799999713897705
86.52,-1.8700000047683716,90.84,-3.180000066757202,988.0,0.002697112737223506,0.01729329489171505,2.658006429672241,-0.0030901425052434206,0.146494060754776,0.2290777564048767,8.0,2048.0,136.65796472700094,131072.0,88.14,-2.809999942779541
88.15,-2.069999933242798,80.54,-2.2799999713897705,993.0,0.0033517915289849043,0.023193359375,2.6621146202087402,-0.0029420924838632345,0.17021127045154572,0.279554545879364,9.0,2304.0,153.18791300300109,147456.0,82.43,-1.4299999475479126
93.0,-1.4299999475479126,77.58,-1.9199999570846558,989.0,0.0027122441679239273,0.01603190042078495,2.661261796951294,-0.004030571784824133,0.14103035628795624,0.31433385610580444,10.0,2560.0,169.79550517000098,163840.0,85.21,-2.009999990463257
83.71,-2.3299999237060547,85.81,-1.9800000190734863,987.0,0.0031209371518343687,0.02927652932703495,2.6567764282226562,-0.003755218116566539,0.18720243871212006,0.3055029511451721,11.0,2816.0,186.42745866400037,180224.0,83.58,-2.309999942779541
83.51,-1.1100000143051147,82.92,-1.9900000095367432,989.0,0.004059833940118551,0.0316569022834301,2.6353282928466797,-0.004914914723485708,0.1243455708026886,0.3203278183937073,12.0,3072.0,203.0318319850012,196608.0,81.67,-0.8700000047683716
88.23,-2.0999999046325684,82.13,-2.049999952316284,973.0,0.003982569556683302,0.0349528007209301,2.6347179412841797,-0.005763933528214693,0.15430204570293427,0.3324832320213318,13.0,3328.0,219.90598493900143,212992.0,84.89,-1.559999942779541
87.47,-1.1200000047683716,83.49,-1.8799999952316284,994.0,0.004323922097682953,0.0429280586540699,2.6326041221618652,-0.006597614381462336,0.15672878921031952,0.3641679286956787,14.0,3584.0,236.41902037399996,229376.0,81.91,-1.5399999618530273
90.16,-1.6200000047683716,80.33,-2.0399999618530273,988.0,0.003788850037381053,0.03118896484375,2.6410040855407715,-0.007959838956594467,0.12919391691684723,0.39745497703552246,15.0,3840.0,253.02492340900062,245760.0,80.95,-1.8200000524520874
81.19,-1.2599999904632568,81.24,-1.340000033378601,990.0,0.004130841698497534,0.0413411445915699,2.635978937149048,-0.008181757293641567,0.10584961622953415,0.4236587882041931,16.0,4096.0,269.60462176000146,262144.0,79.67,-1.4600000381469727
