eplenmean,eprewmean,eval_eplenmean,eval_eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps,test_eplenmean,test_eprewmean
87.12,-2.6500000953674316,86.49,-2.0799999237060547,805.0,0.0016862436896190047,0.0031534831505268812,2.7064573764801025,-0.0006567061063833535,0.7519325613975525,-0.19893527030944824,1.0,256.0,20.333493442998588,16384.0,85.43,-2.299999952316284
88.11,-2.450000047683716,80.8,-2.2899999618530273,989.0,0.001222852268256247,0.000244140625,2.7035157680511475,-0.0010348042706027627,0.35297587513923645,-0.13155138492584229,2.0,512.0,36.96447580699896,32768.0,83.08,-2.4200000762939453
84.13,-2.369999885559082,88.82,-2.5399999618530273,1019.0,0.0014980813721194863,0.000732421875,2.70125675201416,-0.0010099095525220037,0.29030323028564453,-0.021258831024169922,3.0,768.0,53.0703291969985,49152.0,81.56,-2.2899999618530273
88.11,-1.8300000429153442,81.3,-2.059999942779541,1018.0,0.0007997302454896271,6.103515625e-05,2.699361562728882,-0.000609823502600193,0.22844110429286957,0.08046519756317139,4.0,1024.0,69.20545886999753,65536.0,80.89,-1.8799999952316284
87.2,-2.319999933242798,84.46,-2.7200000286102295,1010.0,0.0014760453486815095,0.0029500324744731188,2.693553924560547,-0.0011819257633760571,0.22033382952213287,0.132662832736969,5.0,1280.0,85.45204626399936,81920.0,90.02,-2.9200000762939453
83.89,-1.6399999856948853,78.89,-2.2899999618530273,985.0,0.00300240027718246,0.01761881448328495,2.6758782863616943,-0.002384043298661709,0.18641437590122223,0.23906546831130981,6.0,1536.0,102.12204204199952,98304.0,86.39,-1.7100000381469727
82.18,-2.309999942779541,80.75,-1.7699999809265137,989.0,0.0033657557796686888,0.01568603515625,2.6719939708709717,-0.002403847873210907,0.17786794900894165,0.2600376009941101,7.0,1792.0,118.72593199499897,114688.0,77.57,-1.899999976158142
83.81,-1.4800000190734863,80.55,-1.7899999618530273,963.0,0.0021610392723232508,0.0125732421875,2.6589865684509277,-0.0018804515711963177,0.14753444492816925,0.3514067530632019,8.0,2048.0,135.7736646049998,131072.0,81.97,-2.299999952316284
82.82,-1.2100000381469727,79.08,-2.2799999713897705,965.0,0.0037026379723101854,0.02687581442296505,2.638662338256836,-0.0038654152303934097,0.14452336728572845,0.39275074005126953,9.0,2304.0,152.7880220549996,147456.0,78.77,-1.7999999523162842
81.01,-0.75,77.04,-1.3899999856948853,967.0,0.002372970338910818,0.009663899429142475,2.634059429168701,-0.0024315130431205034,0.1213020607829094,0.48268306255340576,10.0,2560.0,169.78575373399872,163840.0,75.15,-1.600000023841858
78.1,-1.600000023841858,79.86,-1.350000023841858,977.0,0.003652733750641346,0.02730306051671505,2.613313674926758,-0.004259883426129818,0.13404570519924164,0.46355611085891724,11.0,2816.0,186.5887148189977,180224.0,74.03,-1.590000033378601
78.89,-1.3600000143051147,74.56,-1.0,973.0,0.005138426087796688,0.05035400390625,2.601980447769165,-0.004836555104702711,0.12213898450136185,0.491327166557312,12.0,3072.0,203.44935651099877,196608.0,74.76,-1.100000023841858
79.34,-1.1200000047683716,77.08,-1.690000057220459,967.0,0.005383226554840803,0.0426228828728199,2.6167056560516357,-0.005713067948818207,0.11177100986242294,0.5026658177375793,13.0,3328.0,220.42034186800083,212992.0,76.51,-1.3300000429153442
77.18,-0.8199999928474426,74.88,-1.9199999570846558,984.0,0.0036115783732384443,0.02547200582921505,2.6041533946990967,-0.005390544887632132,0.10332009941339493,0.49503159523010254,14.0,3584.0,237.09785713399833,229376.0,76.5,-1.190000057220459
80.91,-1.2599999904632568,77.55,-1.4500000476837158,995.0,0.0047745308838784695,0.0501505546271801,2.609590530395508,-0.008029281161725521,0.10938972979784012,0.4836539626121521,15.0,3840.0,253.61030328799825,245760.0,79.68,-1.2400000095367432
82.79,-1.399999976158142,76.82,-1.7100000381469727,994.0,0.004731233697384596,0.0491739921271801,2.593484401702881,-0.00788874551653862,0.1078345775604248,0.5498621165752411,16.0,4096.0,270.13035092800055,262144.0,77.46,-1.9500000476837158
76.4,-1.1399999856948853,76.06,-0.9599999785423279,1000.0,0.004583476576954126,0.0482177734375,2.583111524581909,-0.00949250441044569,0.0940977931022644,0.6121706962585449,17.0,4352.0,286.5472620119981,278528.0,78.62,-1.1699999570846558
79.58,-1.0199999809265137,78.56,-1.4800000190734863,1001.0,0.00523513974621892,0.0553792305290699,2.585932493209839,-0.008860782720148563,0.11190199851989746,0.5681326687335968,18.0,4608.0,302.94592382599876,294912.0,76.74,-1.090000033378601
81.66,-1.1100000143051147,81.23,-1.6299999952316284,1002.0,0.005242041777819395,0.0567220039665699,2.5845487117767334,-0.010625570081174374,0.1083092913031578,0.598705530166626,19.0,4864.0,319.31881495999914,311296.0,72.38,-1.3899999856948853
78.14,-0.9100000262260437,77.85,-1.1100000143051147,1000.0,0.006335707847028971,0.0777181014418602,2.553520917892456,-0.01267747301608324,0.12002646923065186,0.5936863124370575,20.0,5120.0,335.7327652189997,327680.0,80.13,-1.2599999904632568
