eplenmean,eprewmean,eval_eplenmean,eval_eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps,test_eplenmean,test_eprewmean
82.8,-2.2699999809265137,86.24,-2.5899999141693115,811.0,0.00033146957866847515,0.0,2.7078030109405518,-0.00021381273109000176,0.5469963550567627,-0.0028992891311645508,1.0,256.0,20.18675661599991,16384.0,82.8,-2.3499999046325684
93.5,-3.440000057220459,79.93,-2.4600000381469727,1016.0,4.9608584959059954e-05,0.0,2.7075917720794678,-0.00025168611318804324,0.2040669471025467,0.010481119155883789,2.0,512.0,36.389032605000466,32768.0,80.73,-2.390000104904175
89.76,-2.430000066757202,77.84,-2.4000000953674316,1029.0,0.0007643576245754957,0.0025431315880268812,2.7056944370269775,-0.001080995425581932,0.1559852659702301,0.018873870372772217,3.0,768.0,52.334290552999846,49152.0,84.93,-1.940000057220459
90.37,-2.0799999237060547,87.55,-2.8499999046325684,1028.0,0.002942937659099698,0.012410481460392475,2.6954801082611084,-0.0021027224138379097,0.15669603645801544,0.031616926193237305,4.0,1024.0,68.30866508500003,65536.0,86.83,-2.559999942779541
83.52,-1.909999966621399,87.11,-2.4600000381469727,1022.0,0.0038604505825787783,0.01924641989171505,2.676218271255493,-0.0018140407046303153,0.15244455635547638,0.04986584186553955,5.0,1280.0,84.36396127900025,81920.0,80.13,-1.3799999952316284
84.49,-2.0399999618530273,81.54,-1.3799999952316284,1009.0,0.00309145450592041,0.02119954489171505,2.667473554611206,-0.002596487058326602,0.17535807192325592,0.09518396854400635,6.0,1536.0,100.63041759800035,98304.0,80.73,-1.75
80.84,-1.6100000143051147,78.31,-1.9700000286102295,1000.0,0.004023299086838961,0.0314534492790699,2.654546022415161,-0.0017873161705210805,0.1266258805990219,0.14292466640472412,7.0,1792.0,117.0490709450005,114688.0,80.23,-1.7699999809265137
83.43,-1.909999966621399,74.73,-1.6399999856948853,992.0,0.0027606261428445578,0.01837158203125,2.6460182666778564,-0.0022381143644452095,0.12700946629047394,0.18807101249694824,8.0,2048.0,133.59570779000023,131072.0,78.45,-2.1500000953674316
80.69,-1.4500000476837158,79.38,-2.0399999618530273,994.0,0.004096100106835365,0.0338338203728199,2.6481235027313232,-0.0034189641010016203,0.11813504248857498,0.2676427960395813,9.0,2304.0,150.11340210400067,147456.0,76.52,-1.1799999475479126
84.24,-1.4500000476837158,74.91,-1.909999966621399,988.0,0.004744888748973608,0.0435994453728199,2.624440908432007,-0.004582946188747883,0.11823896318674088,0.28905969858169556,10.0,2560.0,166.7254064990002,163840.0,79.91,-2.069999933242798
